LOOP,LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,11250,533,734933.6,7170994.0,581.0,92.4,0.0,54939.65,167308.2,93870.50,40003.68,14167.72,5667.000,2977.996,1817.606,1089.844,452.4038,0.000000
1,11250,537,734931.7,7170938.0,580.2,93.1,0.0,54950.23,177845.7,104405.9,47009.96,15694.60,4649.992,2113.125,1446.759,933.8303,400.8670,0.000000
1,11250,541,734929.3,7170882.0,578.8,94.0,0.0,54963.35,184954.5,112872.6,50762.02,16438.82,4645.100,2070.966,1424.275,921.9827,396.4088,0.000000
1,11250,545,734926.9,7170826.0,578.8,94.2,0.0,54973.43,179089.8,111757.8,51516.62,16996.39,4794.172,2087.918,1424.017,921.1589,396.0129,0.000000
1,11250,549,734924.6,7170770.0,578.8,93.9,0.0,54977.37,180528.4,112038.5,50911.40,16498.84,4630.436,2063.094,1422.110,921.3112,396.2700,0.000000
1,11250,553,734923.1,7170714.0,577.0,91.4,0.0,54977.45,191080.8,117274.9,53071.10,17876.69,5236.815,1757.562,698.4138,264.7364,70.00610,0.000000
1,11250,557,734922.2,7170655.5,575.8,91.2,0.0,54977.40,208634.0,131605.9,60612.85,20252.37,5432.549,1453.992,445.5450,139.7218,32.73296,0.000000
1,11250,561,734922.1,7170597.5,576.1,91.1,0.0,54980.00,218415.2,137512.5,62702.96,20597.65,5357.345,1348.858,382.3302,112.5948,25.33291,0.000000
1,11250,565,734922.4,7170541.0,576.1,90.4,0.0,54985.08,217958.9,136019.3,61230.10,19886.80,5206.205,1377.689,421.0763,131.8423,30.81983,0.000000
1,11250,569,734923.1,7170485.0,576.0,89.6,0.0,54989.50,208703.9,131043.8,59721.29,19623.74,5117.827,1295.872,367.8456,108.1487,24.25701,0.000000
1,11250,573,734924.1,7170429.0,575.9,90.1,0.0,54996.20,179898.7,116700.7,56467.84,19659.44,5128.802,1128.546,242.0643,53.41089,9.773042,0.000000
1,11250,577,734925.3,7170371.0,575.7,91.0,0.0,55013.10,158985.0,106130.3,55827.02,21595.04,6207.166,1430.553,295.9154,59.21048,9.799109,0.000000
1,11250,581,734926.6,7170313.0,574.5,91.8,0.0,55039.90,156344.4,102857.3,56367.52,23292.68,7274.643,1848.096,428.3784,96.64291,17.66534,0.000000
1,11250,585,734927.8,7170256.0,573.7,91.9,0.0,55065.83,161060.5,108026.8,59101.79,23923.69,7088.961,1599.615,293.5309,46.51535,5.788253,0.000000
