 "LINE" "FID" "EAST" "NORTH" "TER" "ALT" "PITCH" "MAG" EM1_X01 EM1_X02 EM1_X03 EM1_X04 EM1_X05 EM1_X06 EM1_X07 EM1_X08 EM1_X09 EM1_X10 EM1_Z01 EM1_Z02 EM1_Z03 EM1_Z04 EM1_Z05 EM1_Z06 EM1_Z07 EM1_Z08 EM1_Z09 EM1_Z10
 1 11240 3838 729516.31 7168645.0 559.0500815851804 101.05209710307595 0.0 54880.25 229518.0 161618.0 94293.0 41139.0 11915.0 2386.0 718.0 550.0 339.0 0.0 269803.0 230688.0 175043.0 109219.0 51094.0 17128.0 4362.0 1014.0 119.0 0.0
 1 11240 3839 729516.06 7168657.0 558.8863073863462 101.1800729634495 0.0 54882.51 228234.0 158864.0 90875.0 38519.0 10858.0 2163.0 686.0 531.0 334.0 0.0 269784.0 229741.0 172950.0 106524.0 49370.0 16514.0 4232.0 982.0 123.0 0.0
 1 11240 3840 729515.81 7168669.0 558.7442792386397 101.2588307210814 0.0 54884.76 226888.0 155967.0 87467.0 36002.0 9860.0 1939.0 632.0 495.0 320.0 0.0 269701.0 228573.0 170622.0 103710.0 47627.0 15904.0 4110.0 950.0 127.0 0.0
 1 11240 3841 729515.56 7168681.0 558.6253342429806 101.2757920354323 0.0 54887.29 225496.0 152984.0 84111.0 33631.0 8936.0 1717.0 561.0 445.0 298.0 0.0 269513.0 227107.0 167982.0 100771.0 45870.0 15302.0 3996.0 920.0 130.0 0.0
 1 11240 3842 729515.31 7168693.0 558.5133366328919 101.23733831593144 0.0 54889.02 224055.0 149953.0 80830.0 31425.0 8093.0 1505.0 481.0 388.0 271.0 0.0 269162.0 225274.0 164974.0 97702.0 44102.0 14711.0 3889.0 895.0 134.0 0.0
 1 11240 3843 729515.06 7168705.0 558.4096098217459 101.16717532010789 0.0 54890.47 222542.0 146898.0 77638.0 29388.0 7334.0 1308.0 401.0 329.0 242.0 0.0 268570.0 223032.0 161581.0 94513.0 42332.0 14138.0 3788.0 874.0 137.0 0.0
 1 11240 3844 729514.75 7168717.0 558.3174228968039 101.09767707970107 0.0 54891.71 220926.0 143834.0 74552.0 27518.0 6656.0 1129.0 327.0 273.0 211.0 0.0 267646.0 220353.0 157824.0 91222.0 40569.0 13586.0 3691.0 857.0 141.0 0.0
 1 11240 3845 729514.44 7168729.5 558.2369951985085 101.0578070802676 0.0 54892.74 219171.0 140771.0 71597.0 25814.0 6056.0 971.0 264.0 223.0 181.0 0.0 266292.0 217226.0 153758.0 87861.0 38824.0 13060.0 3596.0 843.0 145.0 0.0
 1 11240 3846 729514.19 7168742.0 558.1755378161027 101.06402831534713 0.0 54893.48 217253.0 137719.0 68802.0 24278.0 5530.0 832.0 210.0 181.0 152.0 0.0 264442.0 213651.0 149449.0 84463.0 37110.0 12558.0 3503.0 832.0 149.0 0.0
 1 11240 3847 729513.94 7168754.5 558.136353470697 101.1191274622857 0.0 54893.93 215166.0 134690.0 66197.0 22914.0 5076.0 712.0 166.0 145.0 124.0 0.0 262085.0 209666.0 144974.0 81069.0 35442.0 12081.0 3410.0 822.0 153.0 0.0
 1 11240 3848 729513.69 7168767.0 558.1225229792051 101.21880357335881 0.0 54894.01 212920.0 131694.0 63794.0 21721.0 4690.0 609.0 129.0 115.0 100.0 0.0 259295.0 205358.0 140411.0 77721.0 33832.0 11624.0 3317.0 813.0 157.0 0.0
 1 11240 3849 729513.44 7168779.5 558.1403868885849 101.36017005484143 0.0 54893.81 210541.0 128745.0 61590.0 20691.0 4369.0 524.0 99.0 89.0 79.0 0.0 256211.0 200868.0 135849.0 74464.0 32294.0 11184.0 3223.0 805.0 160.0 0.0
 1 11240 3850 729513.19 7168792.0 558.2079208874342 101.54548456982022 0.0 54893.36 208059.0 125852.0 59567.0 19810.0 4108.0 455.0 74.0 67.0 62.0 0.0 253013.0 196368.0 131378.0 71344.0 30840.0 10762.0 3131.0 797.0 161.0 0.0
 1 11240 3851 729513.0 7168804.5 558.3141061399405 101.77793168559316 0.0 54892.67 205506.0 123024.0 57702.0 19061.0 3902.0 402.0 54.0 48.0 50.0 0.0 249866.0 192017.0 127090.0 68401.0 29479.0 10359.0 3039.0 789.0 162.0 0.0
 1 11240 3852 729512.81 7168817.0 558.4442384456744 102.05375594743093 0.0 54891.78 202907.0 120264.0 55978.0 18423.0 3742.0 365.0 38.0 32.0 42.0 0.0 246891.0 187937.0 123064.0 65667.0 28222.0 9980.0 2951.0 781.0 161.0 0.0
 1 11240 3853 729512.63 7168829.5 558.583232079227 102.35918930694527 0.0 54890.64 200285.0 117570.0 54381.0 17875.0 3619.0 339.0 25.0 19.0 39.0 0.0 244156.0 184191.0 119356.0 63162.0 27078.0 9630.0 2869.0 774.0 159.0 0.0
 1 11240 3854 729512.5 7168842.0 558.7159486272463 102.67639518751463 0.0 54889.34 197655.0 114938.0 52908.0 17394.0 3523.0 324.0 13.0 9.0 40.0 0.0 241679.0 180790.0 115995.0 60895.0 26053.0 9316.0 2797.0 769.0 156.0 0.0
