LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,AppCon_106140Hz,AppCon_25380Hz,AppCon_6135Hz,AppCon_1518Hz,AppCon_385Hz,AppCon_3323Hz
31003,1276,478996.4,6200331.0,25.6,31.2,0.0,0.00,42.67,53.74,152.04,422.71,913.73,244.18
31003,1283,478997.8,6200354.5,25.3,32.1,0.0,0.00,51.67,58.36,161.70,444.67,942.39,263.92
31003,1290,478998.8,6200378.0,25.1,32.8,0.0,0.00,57.97,60.87,167.15,454.66,947.92,277.01
31003,1297,478999.2,6200401.5,25.0,33.2,0.0,0.00,58.40,61.85,169.29,453.77,943.57,265.51
31003,1304,478999.0,6200425.5,25.0,33.3,0.0,0.00,54.25,57.43,159.53,437.86,928.07,253.18
31003,1311,478998.4,6200450.0,25.2,33.2,0.0,0.00,49.84,53.26,151.40,421.16,906.05,241.62
31003,1318,478997.4,6200474.5,25.4,32.6,0.0,0.00,42.42,47.47,138.45,391.90,868.85,224.57
31003,1325,478996.4,6200499.5,25.8,31.8,0.0,0.00,35.28,41.89,125.18,362.60,827.93,205.60
31003,1332,478995.4,6200524.5,26.4,30.8,0.0,0.00,30.59,38.30,113.79,336.00,782.94,187.61
31003,1339,478994.5,6200549.5,26.7,30.3,0.0,0.00,27.39,35.96,106.72,321.42,761.44,179.57
31003,1346,478993.7,6200575.0,27.5,29.9,0.0,0.00,19.27,29.96,93.99,292.16,715.55,161.93
31003,1353,478993.3,6200600.0,28.3,29.1,0.0,0.00,13.46,24.27,82.46,261.68,659.82,144.64
31003,1360,478993.2,6200625.0,28.7,28.6,0.0,0.00,12.70,23.20,79.18,253.82,646.02,139.39
31003,1367,478993.5,6200650.0,28.3,29.5,0.0,0.00,16.50,26.31,86.21,275.89,687.59,148.70
31003,1374,478994.2,6200674.5,27.7,30.6,0.0,0.00,23.53,30.56,92.74,293.23,721.10,158.52
31003,1381,478995.1,6200699.0,27.3,31.5,0.0,0.00,31.27,34.60,97.00,301.97,738.12,166.76
31003,1388,478996.2,6200723.5,27.0,31.9,0.0,0.00,36.42,37.02,99.13,307.85,748.75,170.05
31003,1395,478997.1,6200748.0,26.9,32.0,0.0,0.00,40.31,37.85,101.12,315.30,762.37,171.25
31003,1402,478998.0,6200772.0,27.0,31.8,0.0,0.00,36.71,35.79,98.63,311.96,755.30,166.03
31003,1409,478998.7,6200796.0,27.3,31.3,0.0,0.00,29.43,32.34,94.47,302.18,737.09,158.27
31003,1416,478999.3,6200820.5,27.5,31.0,0.0,0.00,27.76,31.26,93.62,300.93,732.61,157.10
