Iteration,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
1,875.0,306.6,740329.81,7172846.00,861.66,2.94,1.16,0.06
1,875.0,273.6,740329.81,7172846.00,885.06,2.95,1.13,0.05
1,875.0,238.5,740329.81,7172846.00,907.57,2.96,1.10,0.04
1,875.0,201.3,740329.81,7172846.00,927.29,2.97,1.08,0.03
1,875.0,161.9,740329.81,7172846.00,942.68,2.97,1.06,0.03
1,875.0,120.2,740329.81,7172846.00,952.09,2.98,1.05,0.02
1,925.0,580.4,740329.81,7172896.00,855.91,2.93,1.17,0.07
1,925.0,570.4,740329.81,7172896.00,854.76,2.93,1.17,0.07
1,925.0,560.4,740329.81,7172896.00,852.50,2.93,1.17,0.07
1,925.0,550.4,740329.81,7172896.00,849.27,2.93,1.18,0.07
1,925.0,540.4,740329.81,7172896.00,845.29,2.93,1.18,0.07
1,925.0,527.9,740329.81,7172896.00,838.28,2.92,1.19,0.08
1,925.0,510.4,740329.81,7172896.00,828.39,2.92,1.21,0.08
1,925.0,489.8,740329.81,7172896.00,818.52,2.91,1.22,0.09
1,925.0,468.0,740329.81,7172896.00,810.33,2.91,1.23,0.09
1,925.0,444.8,740329.81,7172896.00,805.62,2.91,1.24,0.09
1,925.0,420.3,740329.81,7172896.00,805.90,2.91,1.24,0.09
1,925.0,394.3,740329.81,7172896.00,812.09,2.91,1.23,0.09
