 "LINE" "FID" "EAST" "NORTH" "TER" "ALT" "PITCH" "MAG" EM1_X01 EM1_X02 EM1_X03 EM1_X04 EM1_X05 EM1_X06 EM1_X07 EM1_X08 EM1_X09 EM1_X10 EM1_Z01 EM1_Z02 EM1_Z03 EM1_Z04 EM1_Z05 EM1_Z06 EM1_Z07 EM1_Z08 EM1_Z09 EM1_Z10
 1 11260 4142 740330.75 7172614.0 590.1551878634938 88.90194447296619 0.0 54865.19 279669.0 171696.0 87917.0 35499.0 10409.0 2841.0 846.0 362.0 232.0 0.0 220237.0 159417.0 99376.0 50258.0 19860.0 7214.0 2863.0 1485.0 626.0 0.0
 1 11260 4143 740330.69 7172626.5 589.8135398155563 89.41326217235637 0.0 54863.13 276596.0 168971.0 86694.0 35256.0 10491.0 2963.0 927.0 397.0 254.0 0.0 221329.0 161241.0 100840.0 50773.0 20069.0 7339.0 2889.0 1507.0 623.0 0.0
 1 11260 4144 740330.63 7172639.0 589.4576896637343 89.84552696004181 0.0 54861.05 272182.0 164895.0 84746.0 34781.0 10564.0 3094.0 1012.0 435.0 277.0 0.0 222189.0 162348.0 101892.0 51167.0 20265.0 7452.0 2909.0 1523.0 618.0 0.0
 1 11260 4145 740330.5 7172651.5 589.0973832364075 90.19681019501436 0.0 54859.22 266447.0 159500.0 82007.0 34029.0 10618.0 3231.0 1099.0 476.0 299.0 0.0 222704.0 162706.0 102513.0 51440.0 20446.0 7552.0 2925.0 1529.0 611.0 0.0
 1 11260 4146 740330.38 7172664.0 588.74445686069 90.47953217344083 0.0 54857.38 259561.0 152984.0 78530.0 32989.0 10647.0 3370.0 1188.0 520.0 322.0 0.0 222789.0 162351.0 102704.0 51590.0 20613.0 7639.0 2937.0 1525.0 602.0 0.0
 1 11260 4147 740330.25 7172676.5 588.4063025259496 90.71854919053989 0.0 54855.66 251802.0 145663.0 74478.0 31700.0 10644.0 3508.0 1279.0 566.0 344.0 0.0 222430.0 161369.0 102469.0 51614.0 20764.0 7713.0 2948.0 1511.0 590.0 0.0
 1 11260 4148 740330.13 7172689.0 588.031342589596 90.94405203895029 0.0 54854.14 243472.0 137886.0 70088.0 30236.0 10609.0 3644.0 1373.0 614.0 366.0 0.0 221692.0 159866.0 101807.0 51505.0 20901.0 7775.0 2957.0 1487.0 576.0 0.0
 1 11260 4149 740330.0 7172701.5 587.6135803318347 91.18082309597418 0.0 54853.3 234830.0 129962.0 65590.0 28684.0 10545.0 3776.0 1471.0 665.0 388.0 0.0 220693.0 157935.0 100715.0 51253.0 21024.0 7830.0 2967.0 1456.0 561.0 0.0
 1 11260 4150 740329.81 7172714.0 587.1751646311291 91.44031162392298 0.0 54852.05 226053.0 122103.0 61159.0 27121.0 10455.0 3905.0 1573.0 719.0 410.0 0.0 219558.0 155646.0 99196.0 50853.0 21137.0 7884.0 2980.0 1421.0 546.0 0.0
 1 11260 4151 740329.63 7172726.5 586.7401280562891 91.7206779891105 0.0 54850.39 217238.0 114420.0 56888.0 25594.0 10344.0 4031.0 1679.0 776.0 432.0 0.0 218371.0 153055.0 97279.0 50308.0 21243.0 7942.0 2997.0 1387.0 532.0 0.0
