Iteration,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
1,525.0,545.3,729523.12,7168544.50,647.08,2.81,1.55,0.19
1,525.0,535.3,729523.12,7168544.50,646.11,2.81,1.55,0.19
1,525.0,525.3,729523.12,7168544.50,645.30,2.81,1.55,0.19
1,525.0,515.3,729523.12,7168544.50,644.95,2.81,1.55,0.19
1,525.0,502.8,729523.12,7168544.50,645.53,2.81,1.55,0.19
1,525.0,485.3,729523.12,7168544.50,648.99,2.81,1.54,0.19
1,525.0,464.7,729523.12,7168544.50,656.86,2.82,1.52,0.18
1,525.0,442.9,729523.12,7168544.50,670.11,2.83,1.49,0.17
1,525.0,419.7,729523.12,7168544.50,689.17,2.84,1.45,0.16
1,525.0,395.2,729523.12,7168544.50,713.94,2.85,1.40,0.15
1,525.0,369.2,729523.12,7168544.50,743.73,2.87,1.34,0.13
1,525.0,341.6,729523.12,7168544.50,777.24,2.89,1.29,0.11
1,525.0,312.4,729523.12,7168544.50,812.65,2.91,1.23,0.09
1,525.0,281.4,729523.12,7168544.50,847.86,2.93,1.18,0.07
1,525.0,248.6,729523.12,7168544.50,880.83,2.94,1.14,0.06
1,525.0,213.8,729523.12,7168544.50,909.90,2.96,1.10,0.04
1,525.0,176.1,729523.12,7168544.50,935.00,2.97,1.07,0.03
1,525.0,135.5,729523.12,7168544.50,954.51,2.98,1.05,0.02
1,525.0,92.5,729523.12,7168544.50,968.77,2.99,1.03,0.01
1,525.0,47.0,729523.12,7168544.50,978.39,2.99,1.02,0.01
1,525.0,-1.1,729523.12,7168544.50,983.68,2.99,1.02,0.01
1,575.0,554.8,729523.38,7168594.50,673.80,2.83,1.48,0.17
1,575.0,544.8,729523.38,7168594.50,673.17,2.83,1.49,0.17
1,575.0,534.8,729523.38,7168594.50,672.28,2.83,1.49,0.17
1,575.0,524.8,729523.38,7168594.50,671.43,2.83,1.49,0.17
1,575.0,514.8,729523.38,7168594.50,670.91,2.83,1.49,0.17
1,575.0,502.3,729523.38,7168594.50,670.94,2.83,1.49,0.17
1,575.0,484.8,729523.38,7168594.50,673.17,2.83,1.49,0.17
1,575.0,464.2,729523.38,7168594.50,679.12,2.83,1.47,0.17
1,575.0,442.3,729523.38,7168594.50,689.78,2.84,1.45,0.16
1,575.0,419.2,729523.38,7168594.50,705.75,2.85,1.42,0.15
1,575.0,394.7,729523.38,7168594.50,727.12,2.86,1.38,0.14
1,575.0,368.6,729523.38,7168594.50,753.48,2.88,1.33,0.12
1,575.0,341.1,729523.38,7168594.50,783.80,2.89,1.28,0.11
1,575.0,311.9,729523.38,7168594.50,816.50,2.91,1.22,0.09
1,575.0,280.9,729523.38,7168594.50,849.63,2.93,1.18,0.07
1,575.0,248.0,729523.38,7168594.50,881.18,2.95,1.13,0.05
1,575.0,213.2,729523.38,7168594.50,909.42,2.96,1.10,0.04
1,575.0,175.6,729523.38,7168594.50,934.09,2.97,1.07,0.03
1,575.0,135.1,729523.38,7168594.50,953.50,2.98,1.05,0.02
1,575.0,92.2,729523.38,7168594.50,967.85,2.99,1.03,0.01
1,575.0,46.9,729523.38,7168594.50,977.60,2.99,1.02,0.01
1,575.0,-1.1,729523.38,7168594.50,982.99,2.99,1.02,0.01
1,625.0,554.1,729523.50,7168644.50,686.95,2.84,1.46,0.16
1,625.0,544.1,729523.50,7168644.50,686.63,2.84,1.46,0.16
1,625.0,534.1,729523.50,7168644.50,686.18,2.84,1.46,0.16
1,625.0,524.1,729523.50,7168644.50,685.82,2.84,1.46,0.16
1,625.0,514.1,729523.50,7168644.50,685.72,2.84,1.46,0.16
1,625.0,501.6,729523.50,7168644.50,686.24,2.84,1.46,0.16
1,625.0,484.1,729523.50,7168644.50,688.70,2.84,1.45,0.16
1,625.0,463.5,729523.50,7168644.50,694.27,2.84,1.44,0.16
1,625.0,441.7,729523.50,7168644.50,703.92,2.85,1.42,0.15
1,625.0,418.5,729523.50,7168644.50,718.27,2.86,1.39,0.14
1,625.0,394.0,729523.50,7168644.50,737.59,2.87,1.36,0.13
1,625.0,368.0,729523.50,7168644.50,761.64,2.88,1.31,0.12
1,625.0,340.4,729523.50,7168644.50,789.65,2.90,1.27,0.10
1,625.0,311.2,729523.50,7168644.50,820.24,2.91,1.22,0.09
1,625.0,280.2,729523.50,7168644.50,851.65,2.93,1.17,0.07
1,625.0,247.4,729523.50,7168644.50,881.95,2.95,1.13,0.05
1,625.0,212.6,729523.50,7168644.50,909.39,2.96,1.10,0.04
1,625.0,175.1,729523.50,7168644.50,933.57,2.97,1.07,0.03
1,625.0,134.7,729523.50,7168644.50,952.79,2.98,1.05,0.02
1,625.0,91.9,729523.50,7168644.50,967.13,2.99,1.03,0.01
1,625.0,46.7,729523.50,7168644.50,976.95,2.99,1.02,0.01
