 East  ,  RL  ,  Delpar	 
    2550.0,      21.3,      0.24
    2550.0,      18.3,      0.26
    2550.0,      15.3,      0.27
    2550.0,      12.3,      0.25
    2550.0,       9.3,      0.21
    2550.0,       6.3,      0.18
    2550.0,       3.3,      0.15
    2550.0,       0.3,      0.12
    2550.0,      -2.7,      0.10
    2550.0,      -5.7,      0.08
    2550.0,      -8.7,      0.07
    2550.0,     -11.7,      0.05
    2550.0,     -14.7,      0.05
    2550.0,     -17.7,      0.04
    2550.0,     -20.7,      0.03
    2550.0,     -23.7,      0.03
    2550.0,     -26.7,      0.02
    2550.0,     -30.2,      0.02
    2550.0,     -34.1,      0.01
    2550.0,     -38.1,      0.01
    2550.0,     -42.0,      0.01
    2550.0,     -45.9,      0.01
    2550.0,     -49.9,      0.01
    2550.0,     -53.8,      0.00
    2550.0,     -57.8,      0.00
    2550.0,     -61.7,      0.00
    2550.0,     -65.7,      0.00
    2650.0,      31.0,      0.41
    2650.0,      28.0,      0.39
    2650.0,      25.0,      0.34
    2650.0,      22.0,      0.31
    2650.0,      19.0,      0.33
    2650.0,      16.0,      0.33
    2650.0,      13.0,      0.30
    2650.0,      10.0,      0.26
    2650.0,       7.0,      0.21
    2650.0,       4.0,      0.17
    2650.0,       1.0,      0.13
    2650.0,      -2.0,      0.11
    2650.0,      -5.0,      0.09
    2650.0,      -8.0,      0.07
    2650.0,     -11.0,      0.06
    2650.0,     -14.0,      0.05
    2650.0,     -17.0,      0.04
    2650.0,     -20.0,      0.04
    2650.0,     -23.0,      0.03
    2650.0,     -26.0,      0.03
    2650.0,     -29.5,      0.02
    2650.0,     -33.5,      0.02
    2650.0,     -37.5,      0.01
    2650.0,     -41.5,      0.01
    2650.0,     -45.5,      0.01
    2650.0,     -49.6,      0.01
    2650.0,     -53.6,      0.01
    2650.0,     -57.6,      0.00
    2650.0,     -61.6,      0.00
    2650.0,     -65.6,      0.00
    2750.0,      33.2,      0.32
    2750.0,      30.2,      0.17
    2750.0,      27.2,      0.06
    2750.0,      24.2,      0.13
    2750.0,      21.2,      0.30
    2750.0,      18.2,      0.39
    2750.0,      15.2,      0.37
    2750.0,      12.2,      0.31
    2750.0,       9.2,      0.24
    2750.0,       6.2,      0.18
    2750.0,       3.2,      0.14
    2750.0,       0.2,      0.11
    2750.0,      -2.8,      0.08
    2750.0,      -5.8,      0.07
    2750.0,      -8.8,      0.06
    2750.0,     -11.8,      0.05
    2750.0,     -14.8,      0.04
    2750.0,     -17.8,      0.04
    2750.0,     -20.8,      0.03
    2750.0,     -23.8,      0.03
    2750.0,     -27.4,      0.02
    2750.0,     -31.7,      0.02
    2750.0,     -35.9,      0.02
    2750.0,     -40.1,      0.02
    2750.0,     -44.3,      0.01
    2750.0,     -48.6,      0.01
    2750.0,     -52.8,      0.01
    2750.0,     -57.1,      0.01
    2750.0,     -61.3,      0.01
    2750.0,     -65.5,      0.01
    2850.0,      33.3,      0.19
    2850.0,      30.3,      0.06
    2850.0,      27.3,     -0.02
    2850.0,      24.3,      0.09
    2850.0,      21.3,      0.31
    2850.0,      18.3,      0.42
